year,month,day,breed,gender,spayneuter,zipcode,age
2018,7,5,pit bull,U,FALSE,11203,NA
2018,7,9,pit bull,U,FALSE,11214,NA
2018,7,14,alaskan klee kai,M,TRUE,11225,4
2018,7,10,bull dog,M,TRUE,11249,8
2018,7,12,bull terrier,F,TRUE,11234,8
2018,7,10,pit bull,U,FALSE,NA,NA
2018,7,14,cocker spaniel,U,FALSE,11214,NA
2018,7,10,small dog,U,FALSE,11223,NA
2018,7,17,NA,U,FALSE,11223,NA
2018,7,1,chow chow/golden retriever,F,FALSE,11220,3
2018,7,4,german shepherd,U,FALSE,11209,NA
2018,7,17,golden retriever,M,TRUE,11209,3
2018,7,18,shih tzu,M,TRUE,11229,7
2018,7,15,yorkshire terrier,U,FALSE,11204,NA
2018,7,16,pit bull,U,FALSE,NA,NA
2018,7,19,australian terrier,M,FALSE,11222,12
2018,6,23,american staffordshire terrier,U,FALSE,11221,NA
2018,7,17,german shepherd/golden retriever,U,FALSE,NA,NA
2018,7,15,corgi,U,FALSE,NA,NA
2018,7,19,pit bull,U,FALSE,11209,NA
2018,7,19,shih tzu,M,TRUE,NA,10
2018,7,20,german shepherd,M,FALSE,11226,10
2018,7,7,NA,U,FALSE,11216,NA
2018,6,21,pit bull,U,FALSE,11212,NA
2018,7,22,husky,U,FALSE,11219,NA
2018,7,21,labrador retriever,U,FALSE,11234,NA
2018,7,13,golden retriever,M,TRUE,11232,1
2018,7,14,NA,U,FALSE,11204,NA
2018,7,25,collie,M,TRUE,11237,9
2018,7,24,pit bull,U,FALSE,11229,NA
2018,7,4,rottweiler,M,TRUE,11221,7
2018,7,22,shih tzu,M,FALSE,11216,4
2018,7,20,golden doodle,F,TRUE,NA,5
2018,7,12,NA,U,FALSE,NA,NA
2018,7,16,NA,U,FALSE,11218,NA
2018,7,28,large terrier,M,FALSE,11213,4
2018,7,28,large terrier,M,FALSE,11213,4
2018,7,27,NA,U,FALSE,NA,NA
2018,7,26,NA,U,FALSE,11223,NA
2018,7,28,morkie,U,FALSE,11207,NA
2018,7,29,NA,U,FALSE,11235,NA
2018,7,28,NA,U,FALSE,11215,NA
2018,7,24,borzoi,U,TRUE,11235,NA
2018,7,24,borzoi,U,FALSE,11235,NA
2018,7,18,labrador retriever,M,TRUE,11220,3
2018,7,23,NA,U,FALSE,11226,NA
2018,7,31,shih tzu,M,TRUE,11223,10
2018,7,28,pit bull,U,FALSE,11207,NA
2018,7,21,terrier,M,TRUE,11210,4
2018,7,21,chihuahua,U,FALSE,11238,NA
2018,7,25,shih tzu,U,FALSE,11214,NA
2018,7,24,NA,U,FALSE,11210,NA
2018,7,24,NA,U,FALSE,11210,NA
2018,7,24,NA,U,FALSE,11210,NA
2018,7,23,NA,U,FALSE,11209,NA
2018,7,18,pit bull,U,FALSE,11214,NA
2018,7,28,NA,U,FALSE,NA,NA
2018,7,20,shar-pei,U,FALSE,11226,NA
2018,7,26,maltese,M,TRUE,11236,4
2018,7,26,NA,U,FALSE,11205,NA
2018,7,27,shih tzu,F,TRUE,11209,7
2018,7,31,pit bull,U,FALSE,11209,NA
2018,8,4,bichon frise,U,FALSE,11234,NA
2018,8,6,pit bull,U,FALSE,11207,NA
2018,7,25,shih tzu,U,FALSE,11209,NA
2018,7,29,hound,F,TRUE,11208,2
2018,8,3,"poodle, standard",U,FALSE,11220,NA
2018,8,3,shih tzu,U,FALSE,11236,NA
2018,7,26,mixed,M,TRUE,11238,0.92
2018,8,4,greyhound,F,TRUE,11209,9
2018,7,1,NA,U,FALSE,NA,NA
2018,8,4,beagle,U,FALSE,11223,NA
2018,8,1,pit bull,U,FALSE,11207,NA
2018,8,10,staffordshire bull terrier,M,FALSE,11211,3
2018,8,5,labrador / shepherd,F,TRUE,11220,8
2018,8,13,chihuahua,M,TRUE,11220,6
2018,8,6,NA,U,FALSE,11215,NA
2018,8,3,terrier,U,FALSE,11209,NA
2018,8,15,chihuahua,U,FALSE,11233,NA
2018,8,10,NA,U,FALSE,NA,NA
2018,8,11,pit bull,U,FALSE,11226,NA
2018,8,5,NA,U,FALSE,NA,NA
2018,8,10,pit bull,U,FALSE,11231,NA
2018,8,10,pit bull,U,FALSE,11231,NA
2018,6,21,NA,U,FALSE,11211,NA
2018,7,30,bull dog,F,FALSE,11237,2
2018,7,28,pit bull,U,FALSE,11236,NA
2018,8,18,beagle,M,TRUE,11215,5
2018,8,16,NA,U,FALSE,11224,NA
2018,8,19,NA,M,FALSE,11206,7
2018,8,14,chihuahua,U,FALSE,11228,NA
2018,8,15,miniature pinscher,U,FALSE,11209,NA
2018,8,16,english pointer,M,FALSE,11207,5
2018,8,18,shih tzu,U,FALSE,11210,NA
2018,8,19,pit bull,U,FALSE,11226,NA
2018,8,17,shih tzu,U,FALSE,11204,NA
2018,7,28,"shar-pei, chinese",M,TRUE,11216,4
2018,8,19,NA,U,FALSE,11216,2
2018,8,13,shiba inu,M,FALSE,11219,0.33
2018,8,21,german shepherd,M,TRUE,11204,5
2018,8,22,sheperd,U,FALSE,11249,NA
2018,8,17,NA,U,FALSE,NA,NA
2018,8,18,NA,U,FALSE,11234,NA
2018,8,18,NA,U,FALSE,11229,NA
2018,8,23,pit bull,M,FALSE,11220,1
2018,8,23,NA,U,FALSE,11234,NA
2018,8,23,golden retriever,U,FALSE,11234,NA
2018,8,20,mixed,F,TRUE,11226,2
2018,8,18,bull dog,U,FALSE,11220,NA
2018,8,23,pit bull,U,FALSE,11212,NA
2018,8,28,mixed,M,FALSE,11230,NA
2018,8,25,mixed,U,FALSE,11201,NA
2018,7,15,NA,U,FALSE,NA,NA
2018,8,15,pit bull,F,FALSE,11236,7
2018,7,29,NA,U,FALSE,11220,NA
2018,8,31,pit bull,M,FALSE,11222,2
2018,8,27,pit bull,U,FALSE,NA,NA
2018,8,30,german shepherd,F,TRUE,11208,5
2018,8,29,pit bull,M,TRUE,NA,3
2018,8,25,bichon frise/cavalier king charles,M,TRUE,11209,4
2018,9,2,pit bull,U,FALSE,11212,NA
2018,8,21,pit bull,U,FALSE,11213,NA
2018,8,31,pit bull,F,FALSE,11222,1
2018,8,18,pit bull,U,FALSE,11224,NA
2018,8,27,pit bull,U,FALSE,11232,NA
2018,8,29,german shepherd,M,FALSE,11235,8
2018,9,1,NA,M,FALSE,11230,2
2018,9,5,"collie, rough coat",M,FALSE,11207,3
2018,8,25,shih tzu,M,TRUE,11215,5
2018,9,6,NA,M,FALSE,11208,3
2018,9,6,NA,U,FALSE,11222,NA
2018,8,29,labrador / shepherd,M,TRUE,11237,10
2018,8,6,american bully,U,FALSE,11224,NA
2018,8,30,maltese,U,FALSE,11201,NA
2018,9,7,pit bull,U,FALSE,NA,NA
2018,9,3,basenji,M,FALSE,11239,10
2018,8,31,mixed,F,TRUE,11201,4
2018,9,11,pit bull,M,FALSE,11223,NA
2018,8,31,yorkie/schnauzer,M,FALSE,11230,7
2018,9,9,NA,M,FALSE,11234,0.58
2018,9,11,pit bull,U,FALSE,11228,NA
2018,9,10,NA,M,FALSE,11225,3
2018,9,7,NA,U,FALSE,11205,NA
2018,8,31,NA,U,FALSE,NA,NA
2018,9,7,corgi-dachshund,M,TRUE,11231,4
