fips,human2014,human2016,human2018
16041,45,38.886002,43.792999
16043,44,43.167999,46.758999
16045,47,46.667,47.504002
16047,44,45.176998,47.002998
16049,43,44.117001,47.907001
16051,42,40.691002,46.105999
16053,45,45.512001,47.834999
16055,42,45.625999,46.943001
16057,54,57.035999,61.548
16059,44,45.228001,47.508999
16061,45,45.283001,48.063
16063,49,51.001999,53.942001
16065,45,42.452,47.754002
16067,41,43.612,46.488998
16069,43,47.282001,49.778999
16071,40,38.918999,44.789001
16073,42,45.576,48.830002
16075,43,44.069,45.577999
16077,43,47.521999,51.619999
16079,44,50.564999,49.159
16081,43,50.469002,56.832001
16083,42,44.882,48.752998
16085,41,49.095001,51.058998
16087,52,46.574001,48.984001
17001,46,46.800999,50.053001
17003,43,50.948002,53.131001
17005,43,46.396,51.035999
17007,45,50.532001,55.069
17009,40,47.959,47.442001
17011,43,48.214001,51.650002
17013,48,49.403,50.176998
17015,47,51.004002,52.146
17017,47,50.868,54.558998
17019,55,57.237999,64.481003
17021,44,44.226002,46.716999
17023,42,44.320999,48.752998
17025,41,42.02,45.014
17027,45,46.119999,49.632999
17029,44,49.595001,53.175999
17031,57,62.881001,66.824997
17033,42,43.852001,48.111
17035,41,44.054001,46.431
17037,46,52.530998,57.668999
17039,45,45.838001,48.993999
17041,43,45.523998,50.789001
17043,46,54.536999,59.459999
17045,47,44.611,47.584
17047,40,40.894001,43.915001
17049,47,43.216999,47.893002
17051,45,44.584999,46.798
17053,45,45.438,49.803001
17055,45,46.953999,49.271999
17057,45,50.988998,51.292
17059,43,45.752998,47.91
17061,45,46.431,48.783001
17063,48,49.073002,51.028999
17065,47,44.981998,48.365002
17067,44,46.566002,48.272999
17069,40,43.338001,47.002998
17071,52,48.506001,48.956001
17073,47,50.993999,52.165001
17075,44,43.779999,48.981998
17077,53,56.118,59.391998
17079,39,40.404999,44.685001
17081,47,46.592999,49.287998
17083,45,46.695999,48.587002
17085,45,50.609001,53.888
17087,40,41.583,45.233002
17089,48,52.445,58.525002
17091,47,51.136002,54.787998
17093,49,51.981998,56.896999
17095,46,52.956001,55.273998
17097,58,57.564999,62.629002
17099,44,47.627998,50.186001
17101,49,46.568001,48.577999
17103,46,47.713001,51.699001
17105,41,44.622002,49.737999
17107,42,45.053001,50.458
17109,46,49.332001,54.903
17111,44,47.063999,51.368999
17113,48,53.75,58.323002
17115,48,48.352001,54.143002
17117,47,48.872002,50.660999
17119,46,48.834999,52.021999
17121,46,45.922001,48.903999
17123,46,51.703999,50.501999
17125,45,47.800999,50.035999
17127,38,42.792,43.09
17129,45,49.431999,52.012001
17131,41,48.276001,49.479
17133,44,42.969002,48.292999
17135,45,46.583,46.685001
17137,47,50.648998,52.570999
17139,45,45.433998,48.5
17141,43,47.543999,51.178001
17143,48,51.095001,55.429001
17145,50,46.987,47.091
17147,42,45.462002,50.640999
17149,44,45.465,48.015999
17151,42,44.455002,47.012001
17153,41,46.132999,50.123001
17155,45,48.095001,48.73
17157,43,45.108002,47.249001
17159,52,46.015999,48.453999
17161,47,52.654999,55.793999
17163,47,52.546001,56.338001
17165,45,45.212002,47.709999
17167,45,48.069,53.169998
17169,49,48.826,49.455002
17171,42,45.580002,47.624001
17173,44,44.118999,48.027
17175,46,47.134998,51.439999
17177,47,51.081001,54.618999
17179,43,46.874001,49.921001
17181,43,47.432999,50.266998
17183,49,49.806,52.056
17185,41,39.609001,43.507
17187,45,51.910999,55.555
17189,44,43.962002,46.323002
17191,42,41.063,46.229
17193,44,44.216,49.904999
17195,46,51.769001,53.091
17197,52,53.182999,56.886002
17199,52,48.585999,50.171001
17201,49,51.084999,55.493999
17203,42,44.095001,48.960999
18001,43,46.092999,51.219002
18003,44,47.693001,51.409
18005,44,47.734001,51.862
18007,44,46.243,50.820999
18009,44,46.501999,49.048
18011,44,45.485001,51.471001
18013,50,49.860001,51.701
18015,46,45.217999,47.221001
18017,41,46.472,49.999001
18019,47,48.778,52.229
18021,44,45.181999,48.431
18023,44,46.926998,51.629002
18025,41,47.207001,47.535999
18027,44,43.193001,48.922001
18029,40,42.596001,47.164001
18031,43,44.092999,48.870998
18033,46,45.646999,48.499001
18035,47,51.057999,54.756001
18037,45,46.209,47.910999
18039,43,48.318001,54.341
18041,42,47.150002,48.495998
18043,43,46.860001,51.823002
18045,45,45.727001,47.099998
18047,42,43.729,45.195
18049,41,45.634998,49.561001
18051,39,40.824001,44.372002
18053,42,46.533001,50.171001
18055,39,44.534,46.423
18057,46,48.419998,55.249001
18059,41,44.216999,47.992001
18061,45,45.640999,47.296001
18063,42,45.528,49.820999
18065,39,45.683998,47.925999
18067,45,47.868,50.187
18069,43,44.252998,47.514
18071,43,45.816002,49.964001
18073,38,43.743999,46.237999
18075,47,47.516998,50.354
18077,40,46.047001,48.120998
18079,41,48.625,48.300999
18081,42,44.743999,48.448002
18083,46,44.598,45.962002
18085,43,44.181,49.769001
18087,44,48.487,54.535999
18089,46,53.653,58.382
18091,46,51.410999,53.123001
18093,47,46.146999,47.581001
18095,46,49.030998,52.001999
18097,53,55.924999,60.132
18099,42,46.305,49.311001
18101,41,42.208,46.472
18103,53,47.388,48.918999
18105,55,59.696999,65.307999
18107,43,45.102001,48.425999
18109,45,44.761002,48.205002
18111,41,45.881001,48.007999
18113,41,45.459999,48.912998
18115,39,39.467999,43.154999
18117,41,45.936001,48.708
18119,49,48.458,48.997002
18121,41,43.757,46.882
18123,40,48.562,49.610001
18125,37,41.373001,43.140999
18127,43,50.372002,52.894001
18129,38,43.393002,46.275002
18131,44,46.323002,49.205002
18133,40,45.189999,49.681
18135,47,46.924999,49.448002
18137,44,44.650002,47.360001
18139,42,44.640999,46.889
18141,45,50.776001,55.037998
18143,45,51.174999,51.537998
18145,44,46.957001,50.09
18147,36,41.816002,45.126999
18149,41,46.681,49.278999
18151,44,45.542999,50.074001
18153,39,42.595001,43.285999
18155,40,42.923,48.300999
18157,48,51.870998,58.423
18159,43,44.973,47.808998
18161,47,44.071999,49.152
18163,45,48.823002,53.200001
18165,36,43,46.734001
18167,45,50.976002,54.033001
18169,46,44.351002,47.014999
18171,44,45.223999,48.736
18173,39,42.791,47.368999
18175,43,46.730999,49.536999
18177,47,49.662998,51.094002
18179,41,43.220001,46.355
18181,43,47.001999,49.751999
18183,45,46.389,49.240002
19001,44,48.828999,49.736
19003,50,50.872002,51.743999
19005,41,49.955002,52.132999
19007,42,49.32,49.436001
19009,45,49.592999,50.081001
19011,46,49.879002,51.764
19013,46,54.751999,57.262001
19015,42,50.914001,52.313999
19017,47,49.778999,53.577999
19019,41,50.474998,52.431999
19021,48,52.484001,55.752998
19023,42,46.938999,48.727001
19025,41,47.043999,49.641998
19027,42,48.654999,50.201
19029,43,47.264999,49.438999
19031,46,50.062,51.620998
19033,45,51.827,53.499001
19035,45,47.522999,48.519001
19037,41,50.118,52.159
19039,42,49.910999,51.546001
19041,46,49.307999,50.791
19043,42,49.421001,51.279999
19045,44,51.839001,52.502998
19047,46,50.616001,52.256001
19049,45,50.404999,53.787998
