make,city_mpg,highway_mpg
Chevrolet,15,23
Chrysler,18,26
GMC,15,20
Chrysler,16,24
Chrysler,16,24
Dodge,18,26
Dodge,16,24
Eagle,18,26
Eagle,16,24
Ford,15,21
Ford,16,23
Lincoln,16,24
Mercury,16,23
GMC,11,15
Lincoln,16,23
Mercedes-Benz,15,22
Mercedes-Benz,19,26
Mercedes-Benz,14,18
Mercedes-Benz,12,17
Mercedes-Benz,11,15
Oldsmobile,17,26
Oldsmobile,15,24
Oldsmobile,17,25
Pontiac,17,26
GMC,10,13
Pontiac,15,23
Rolls-Royce,9,13
Saab,16,24
Saab,15,24
Saab,18,26
Saab,18,26
Saab,17,25
Audi,16,21
Audi,16,21
BMW,16,23
Dodge,17,22
GMC,15,20
BMW,15,24
BMW,15,23
Chevrolet,22,28
Chevrolet,18,26
Ford,23,32
Ford,26,34
Honda,19,25
Honda,20,27
Honda,21,27
Honda,22,28
GMC,18,21
Mercury,23,32
Mercury,26,34
Saturn,22,32
Saturn,21,29
Saturn,22,31
Saturn,24,34
Subaru,21,27
Subaru,22,29
Subaru,19,26
Subaru,21,26
GMC,18,23
Subaru,19,26
Subaru,20,28
Subaru,18,24
Subaru,18,24
Subaru,16,21
Toyota,23,29
Toyota,23,31
Buick,19,26
Buick,17,26
Eagle,21,27
GMC,19,24
Eagle,21,27
Eagle,18,24
Eagle,17,21
Eagle,19,25
Eagle,18,22
Ford,18,27
Ford,17,26
Mercury,18,27
Mercury,17,26
Mercedes-Benz,16,22
GMC,15,22
Mitsubishi,18,24
Mitsubishi,17,21
Mitsubishi,19,25
Mitsubishi,18,22
Mitsubishi,21,27
Mitsubishi,21,27
Mitsubishi,18,24
Mitsubishi,19,25
Oldsmobile,17,26
Mitsubishi,16,23
GMC,15,22
Plymouth,21,27
Plymouth,21,27
Plymouth,18,24
Plymouth,17,21
Plymouth,19,25
Plymouth,18,22
Toyota,18,26
Toyota,16,22
Volkswagen,16,23
Volkswagen,16,23
GMC,14,21
Volvo,17,24
Volvo,18,25
Volvo,18,26
Volvo,17,22
Volvo,17,24
Volvo,15,23
Buick,15,23
Chevrolet,15,23
Chevrolet,15,23
Chevrolet,17,23
Isuzu,17,20
Chevrolet,20,26
Chevrolet,15,22
Chevrolet,16,22
Chevrolet,16,22
Chevrolet,16,23
Nissan,18,24
Nissan,20,24
Nissan,16,22
Nissan,17,22
GMC,17,23
Jeep,21,22
GMC,19,26
GMC,15,22
GMC,16,22
GMC,16,23
GMC,16,22
Isuzu,19,23
Isuzu,19,22
Isuzu,18,22
Isuzu,17,21
Mitsubishi,17,21
Jeep,25,26
Mitsubishi,18,23
Chevrolet,15,20
Chevrolet,16,21
Chevrolet,14,20
Chevrolet,15,20
Chevrolet,13,17
Chevrolet,13,18
Chevrolet,12,17
Chevrolet,12,18
Chevrolet,12,17
Dodge,16,22
Jeep,16,20
Chevrolet,15,20
Chevrolet,15,21
Chevrolet,17,22
Chevrolet,15,20
Chevrolet,15,20
Chevrolet,15,20
Chevrolet,13,17
Chevrolet,12,17
Chevrolet,12,16
Chevrolet,11,17
Jeep,18,23
Chevrolet,11,16
Chevrolet,15,20
Chevrolet,15,19
Chevrolet,17,22
Dodge,20,25
Dodge,15,19
Dodge,15,20
Dodge,13,17
Dodge,14,18
Dodge,14,17
Jeep,16,21
Dodge,15,19
Dodge,12,16
Dodge,12,17
Dodge,11,15
Dodge,11,16
Dodge,11,15
Dodge,11,15
Dodge,11,15
Ford,14,18
Ford,14,18
Jeep,17,21
Ford,14,18
Ford,14,17
Ford,11,17
Ford,13,17
Ford,13,17
Ford,12,17
Ford,12,16
Ford,11,16
Ford,11,15
Ford,18,22
Jeep,15,17
Ford,19,24
Ford,16,22
Ford,17,23
Ford,15,20
Ford,16,22
GMC,15,20
GMC,16,21
GMC,14,20
GMC,15,20
GMC,13,17
Jeep,15,19
GMC,13,18
GMC,12,17
GMC,12,18
GMC,12,17
GMC,15,21
GMC,15,20
GMC,17,22
GMC,15,20
GMC,17,22
GMC,15,20
Jeep,17,19
GMC,15,20
GMC,15,20
GMC,13,17
GMC,12,16
GMC,11,17
GMC,11,16
GMC,15,19
Mazda,18,22
Mazda,19,24
Mazda,17,22
Jeep,17,19
Mazda,17,22
Mazda,15,21
Mazda,16,22
Toyota,18,23
Toyota,15,18
Toyota,15,20
Toyota,19,23
Toyota,19,25
Toyota,16,20
Toyota,15,20
Jeep,15,17
Chevrolet,14,18
Chevrolet,14,17
Chevrolet,15,18
Chevrolet,12,17
Chevrolet,12,16
Chevrolet,11,16
Chevrolet,11,16
Chevrolet,11,14
Chevrolet,15,18
Chevrolet,14,17
Jeep,15,18
Chevrolet,15,20
Chevrolet,14,17
Chevrolet,13,17
Chevrolet,14,17
Chevrolet,12,16
Chevrolet,11,16
Chevrolet,11,15
Chevrolet,11,15
Chevrolet,11,14
Chevrolet,15,18
Dodge,17,22
Jeep,15,20
Chevrolet,14,17
Chevrolet,15,20
Chevrolet,16,20
Chevrolet,15,20
Chevrolet,15,20
Chevrolet,15,20
Nissan,16,20
Nissan,14,18
Nissan,14,18
Dodge,14,18
Jeep,14,15
Dodge,14,18
Dodge,12,16
Dodge,13,17
Dodge,11,15
Dodge,12,16
Dodge,11,15
Dodge,11,15
Dodge,11,14
Dodge,10,14
Dodge,11,15
Jeep,10,12
Ford,14,17
Ford,13,17
Ford,12,17
Ford,12,16
