fips,geoname,pincp1969,pincp1970,pincp1971,pincp1972,pincp1973,pincp1974,pincp1975,pincp1976,pincp1977,pincp1978,pincp1979,pincp1980,pincp1981,pincp1982,pincp1983,pincp1984,pincp1985,pincp1986,pincp1987,pincp1988,pincp1989,pincp1990,pincp1991,pincp1992,pincp1993,pincp1994,pincp1995,pincp1996,pincp1997,pincp1998,pincp1999,pincp2000,pincp2001,pincp2002,pincp2003,pincp2004,pincp2005,pincp2006,pincp2007,pincp2008,pincp2009,pincp2010,pincp2011,pincp2012,pincp2013,pincp2014,pincp2015,pincp2016,pincp2017,pincp2018,pincp2019
36101,"Steuben, NY",3500,3691,3812,4007,4545,5075,5365,5678,6184,6715,7398,8266,9116,9718,10492,11312,12163,13139,13503,14819,16157,17090,17849,18398,18640,19297,20486,21583,21856,22919,24393,29331,27605,25839,25657,26732,28258,31226,32126,33798,33045,35503,36578,37351,38373,39563,40885,41275,43554,45241,47212
36103,"Suffolk, NY",4185,4386,4742,5186,5608,6078,6569,6997,7557,8369,9348,10843,12150,13284,14368,16084,17379,18818,20002,21674,22913,24620,25008,25821,26444,27643,28594,29907,32176,33216,35027,37974,38348,38350,38907,41166,43249,46674,50098,50634,49288,50593,52497,55340,55445,57496,60384,62845,65649,68868,71911
36105,"Sullivan, NY",3835,4115,4329,4631,4963,5298,5893,6049,6329,6877,7614,8853,10036,10946,11309,12769,13771,14719,15512,16384,17687,18312,18433,19521,20065,20660,21187,22447,22118,23369,24459,26434,25843,26405,27424,28777,29457,29855,30670,32604,33471,34597,35517,36597,36882,38825,41309,42070,44437,46012,48753
36107,"Tioga, NY",3520,3712,3884,4248,4621,5010,5431,5846,6318,7012,7856,8674,9576,10612,11393,12566,13404,14286,15070,15646,16637,16867,17590,18228,18437,18660,19380,20240,21230,21656,23358,24648,25278,25066,25510,27327,28418,30369,32049,33897,34789,35647,36908,38838,39997,42001,41401,42053,44275,44804,46969
36109,"Tompkins, NY",3251,3523,3805,4029,4349,4712,5052,5298,5490,5992,6508,7468,8560,9502,10698,11932,12667,13573,14364,15119,16688,17173,17446,18231,18476,19136,19906,20298,21016,21926,23189,24478,25680,26117,27171,28570,28769,30140,31897,34318,34224,34966,36581,37821,37960,39083,41159,41111,43732,45120,46496
36111,"Ulster, NY",3771,4040,4251,4498,4934,5376,5853,6131,6592,7209,7965,8986,9992,11215,12271,13699,14687,15816,16378,17345,18756,19318,20004,20979,20391,20483,20916,21403,22289,23877,25012,26608,27366,27326,28121,30539,31939,33933,35618,37130,37118,38245,39623,40964,41308,42912,44679,46296,48584,50590,53006
36113,"Warren, NY",3515,3859,4096,4331,4679,5054,5478,6001,6445,6978,7586,8534,9413,10293,11073,12416,13347,14602,15762,17197,18392,18823,19056,20404,20383,20857,22085,22768,23902,25097,26060,27882,28073,28845,30079,32267,32762,34362,35343,37763,38930,40855,42135,43469,44358,45092,46904,48233,50796,52822,55181
36115,"Washington, NY",3102,3385,3535,3746,4092,4458,4691,5040,5350,5927,6533,7318,8154,8810,9442,10454,10957,11658,12356,13211,14221,14749,15098,16101,16605,17448,17919,18780,19471,20326,20788,22577,22690,22684,23543,25093,25880,26490,27440,29407,30211,31066,32707,33484,34116,35236,35808,36707,39002,40148,42181
36117,"Wayne, NY",3752,3854,4086,4342,4871,5408,5803,6140,6586,7316,7876,9056,10058,11147,11512,12636,13547,14378,15143,16104,17468,18068,18881,19974,20412,21115,21876,22483,23522,24020,24598,25809,26049,26190,27384,28292,28980,30295,31883,33526,33737,35095,36463,37546,38445,39295,41170,42377,44962,45828,47886
36119,"Westchester, NY",6365,6682,7095,7550,8005,8704,9446,10042,11044,12175,13616,15547,17644,19214,20449,22767,24408,26110,27560,30351,32369,34403,34399,36755,37306,38058,40800,43542,46664,50546,53762,57112,56684,55316,56504,61387,66134,73216,79308,80213,75153,76051,79996,87602,86452,90438,93819,96620,103808,109324,113477
36121,"Wyoming, NY",3360,3534,3803,4226,4705,5041,5351,5592,5879,6325,7026,7738,8542,9322,9757,10777,11484,12184,12655,13210,14309,14554,14492,15644,15972,16767,17253,17921,18370,19060,19855,20731,21456,22413,23600,25185,26291,26817,28328,30012,29121,31234,33022,33969,35046,36990,36729,37265,39604,40115,43176
36123,"Yates, NY",3293,3497,3767,3898,4502,5149,5467,5736,6057,6733,7401,8006,8988,9426,9907,10734,11381,11830,12349,13059,14000,14751,15267,15985,16194,16448,17092,17837,18900,19333,19905,21248,22471,22354,22675,25334,26146,27080,27619,28916,29549,31336,32677,33578,34154,35028,34915,36206,38359,38788,40877
