id,GeoName,belief,perc
6035,"Lassen County, California",happening,64.71
6035,"Lassen County, California",human,49.125
6037,"Los Angeles County, California",happening,76.295
6037,"Los Angeles County, California",human,64.796
6039,"Madera County, California",happening,72.88
6039,"Madera County, California",human,58.686
6041,"Marin County, California",happening,82.215
6041,"Marin County, California",human,66.094
6043,"Mariposa County, California",happening,73.139
6043,"Mariposa County, California",human,55.294
6045,"Mendocino County, California",happening,77.634
6045,"Mendocino County, California",human,60.166
6047,"Merced County, California",happening,75.81
6047,"Merced County, California",human,58.934
6049,"Modoc County, California",happening,68.517
6049,"Modoc County, California",human,53.648
6051,"Mono County, California",happening,77.598
6051,"Mono County, California",human,61.761
6053,"Monterey County, California",happening,77.334
6053,"Monterey County, California",human,64.987
6055,"Napa County, California",happening,77.464
6055,"Napa County, California",human,62.386
6057,"Nevada County, California",happening,73.751
6057,"Nevada County, California",human,57.953
6059,"Orange County, California",happening,73.565
6059,"Orange County, California",human,61.036
6061,"Placer County, California",happening,73.299
6061,"Placer County, California",human,55.604
6063,"Plumas County, California",happening,70.558
6063,"Plumas County, California",human,55.122
6065,"Riverside County, California",happening,73.824
6065,"Riverside County, California",human,60.001
6067,"Sacramento County, California",happening,78.574
6067,"Sacramento County, California",human,61.802
6069,"San Benito County, California",happening,75.886
6069,"San Benito County, California",human,61.415
6071,"San Bernardino County, California",happening,77.066
6071,"San Bernardino County, California",human,59.433
6073,"San Diego County, California",happening,75.802
6073,"San Diego County, California",human,58.783
6075,"San Francisco County, California",happening,86.748
6075,"San Francisco County, California",human,73.703
6077,"San Joaquin County, California",happening,75.246
6077,"San Joaquin County, California",human,60.523
6079,"San Luis Obispo County, California",happening,77.97
6079,"San Luis Obispo County, California",human,60.267
6081,"San Mateo County, California",happening,83.805
6081,"San Mateo County, California",human,71.844
6083,"Santa Barbara County, California",happening,78.624
6083,"Santa Barbara County, California",human,66.285
6085,"Santa Clara County, California",happening,82.564
6085,"Santa Clara County, California",human,69.917
6087,"Santa Cruz County, California",happening,82.797
6087,"Santa Cruz County, California",human,69.563
6089,"Shasta County, California",happening,66.454
6089,"Shasta County, California",human,50.149
6091,"Sierra County, California",happening,69.126
6091,"Sierra County, California",human,52.601
6093,"Siskiyou County, California",happening,73.093
6093,"Siskiyou County, California",human,56.198
6095,"Solano County, California",happening,73.407
6095,"Solano County, California",human,60.277
6097,"Sonoma County, California",happening,77.749
6097,"Sonoma County, California",human,61.971
6099,"Stanislaus County, California",happening,69.69
6099,"Stanislaus County, California",human,60.903
6101,"Sutter County, California",happening,68.295
6101,"Sutter County, California",human,54.628
6103,"Tehama County, California",happening,65.695
6103,"Tehama County, California",human,49.613
6105,"Trinity County, California",happening,72.646
6105,"Trinity County, California",human,55.374
6107,"Tulare County, California",happening,72.263
6107,"Tulare County, California",human,59.187
6109,"Tuolumne County, California",happening,65.654
6109,"Tuolumne County, California",human,48.602
6111,"Ventura County, California",happening,75.991
6111,"Ventura County, California",human,59.692
6113,"Yolo County, California",happening,80.175
6113,"Yolo County, California",human,65.742
6115,"Yuba County, California",happening,69.025
6115,"Yuba County, California",human,52.041
8001,"Adams County, Colorado",happening,76.606
8001,"Adams County, Colorado",human,61.828
8003,"Alamosa County, Colorado",happening,72.321
8003,"Alamosa County, Colorado",human,55.676
8005,"Arapahoe County, Colorado",happening,73.034
8005,"Arapahoe County, Colorado",human,58.959
8007,"Archuleta County, Colorado",happening,70.769
8007,"Archuleta County, Colorado",human,54.402
8009,"Baca County, Colorado",happening,60.381
8009,"Baca County, Colorado",human,45.145
8011,"Bent County, Colorado",happening,66.007
8011,"Bent County, Colorado",human,50.32
8013,"Boulder County, Colorado",happening,78.465
8013,"Boulder County, Colorado",human,64.363
8014,"Broomfield County, Colorado",happening,77.659
8014,"Broomfield County, Colorado",human,61.013
8015,"Chaffee County, Colorado",happening,73.175
8015,"Chaffee County, Colorado",human,56.316
8017,"Cheyenne County, Colorado",happening,59.701
8017,"Cheyenne County, Colorado",human,44.004
8019,"Clear Creek County, Colorado",happening,76.095
8019,"Clear Creek County, Colorado",human,60.368
8021,"Conejos County, Colorado",happening,75.505
8021,"Conejos County, Colorado",human,60.834
8023,"Costilla County, Colorado",happening,79.997
8023,"Costilla County, Colorado",human,65.839
8025,"Crowley County, Colorado",happening,61.738
8025,"Crowley County, Colorado",human,45.88
8027,"Custer County, Colorado",happening,64.523
8027,"Custer County, Colorado",human,48.217
8029,"Delta County, Colorado",happening,64.756
8029,"Delta County, Colorado",human,51.144
8031,"Denver County, Colorado",happening,82.076
8031,"Denver County, Colorado",human,65.972
8033,"Dolores County, Colorado",happening,66.876
8033,"Dolores County, Colorado",human,50.042
8035,"Douglas County, Colorado",happening,71.726
8035,"Douglas County, Colorado",human,54.873
8037,"Eagle County, Colorado",happening,77.234
8037,"Eagle County, Colorado",human,61.383
8039,"Elbert County, Colorado",happening,65.609
8039,"Elbert County, Colorado",human,49.674
8041,"El Paso County, Colorado",happening,69.982
8041,"El Paso County, Colorado",human,52.748
8043,"Fremont County, Colorado",happening,64.676
8043,"Fremont County, Colorado",human,47.294
8045,"Garfield County, Colorado",happening,73.384
8045,"Garfield County, Colorado",human,58.184
8047,"Gilpin County, Colorado",happening,73.985
8047,"Gilpin County, Colorado",human,57.993
8049,"Grand County, Colorado",happening,73.615
8049,"Grand County, Colorado",human,56.133
8051,"Gunnison County, Colorado",happening,76.841
8051,"Gunnison County, Colorado",human,60.565
8053,"Hinsdale County, Colorado",happening,71.085
8053,"Hinsdale County, Colorado",human,53.664
8055,"Huerfano County, Colorado",happening,74.403
8055,"Huerfano County, Colorado",human,58.704
8057,"Jackson County, Colorado",happening,66.938
8057,"Jackson County, Colorado",human,50.626
8059,"Jefferson County, Colorado",happening,72.67
8059,"Jefferson County, Colorado",human,54.374
8061,"Kiowa County, Colorado",happening,58.741
8061,"Kiowa County, Colorado",human,42.48
8063,"Kit Carson County, Colorado",happening,62.293
8063,"Kit Carson County, Colorado",human,46.296
8065,"Lake County, Colorado",happening,76.339
8065,"Lake County, Colorado",human,61.731
8067,"La Plata County, Colorado",happening,76.2
8067,"La Plata County, Colorado",human,60.51
8069,"Larimer County, Colorado",happening,75.714
8069,"Larimer County, Colorado",human,57.84
8071,"Las Animas County, Colorado",happening,73.963
8071,"Las Animas County, Colorado",human,58.235
8073,"Lincoln County, Colorado",happening,65.351
8073,"Lincoln County, Colorado",human,50.151
8075,"Logan County, Colorado",happening,63.046
8075,"Logan County, Colorado",human,46.593
8077,"Mesa County, Colorado",happening,65.428
8077,"Mesa County, Colorado",human,49.828
8079,"Mineral County, Colorado",happening,74.436
8079,"Mineral County, Colorado",human,58.964
8081,"Moffat County, Colorado",happening,52.802
8081,"Moffat County, Colorado",human,42.675
8083,"Montezuma County, Colorado",happening,66.235
8083,"Montezuma County, Colorado",human,50.397
8085,"Montrose County, Colorado",happening,65.912
8085,"Montrose County, Colorado",human,49.426
8087,"Morgan County, Colorado",happening,61.407
8087,"Morgan County, Colorado",human,49.712
8089,"Otero County, Colorado",happening,68.752
8089,"Otero County, Colorado",human,52.639
8091,"Ouray County, Colorado",happening,77.872
8091,"Ouray County, Colorado",human,61.677
8093,"Park County, Colorado",happening,68.805
8093,"Park County, Colorado",human,50.843
8095,"Phillips County, Colorado",happening,61.009
8095,"Phillips County, Colorado",human,46.274
8097,"Pitkin County, Colorado",happening,79.558
8097,"Pitkin County, Colorado",human,62.805
8099,"Prowers County, Colorado",happening,63.66
8099,"Prowers County, Colorado",human,47.879
8101,"Pueblo County, Colorado",happening,70.322
8101,"Pueblo County, Colorado",human,54.42
8103,"Rio Blanco County, Colorado",happening,57.097
8103,"Rio Blanco County, Colorado",human,44.922
8105,"Rio Grande County, Colorado",happening,70.691
8105,"Rio Grande County, Colorado",human,54.326
8107,"Routt County, Colorado",happening,72.554
8107,"Routt County, Colorado",human,57.135
8109,"Saguache County, Colorado",happening,73.597
8109,"Saguache County, Colorado",human,57.648
8111,"San Juan County, Colorado",happening,76.861
8111,"San Juan County, Colorado",human,62.093
8113,"San Miguel County, Colorado",happening,79.026
8113,"San Miguel County, Colorado",human,61.578
8115,"Sedgwick County, Colorado",happening,66.321
8115,"Sedgwick County, Colorado",human,50.37
8117,"Summit County, Colorado",happening,75.106
8117,"Summit County, Colorado",human,57.603
8119,"Teller County, Colorado",happening,65.371
8119,"Teller County, Colorado",human,48.029
8121,"Washington County, Colorado",happening,62.728
8121,"Washington County, Colorado",human,47.474
8123,"Weld County, Colorado",happening,63.162
8123,"Weld County, Colorado",human,50.109
8125,"Yuma County, Colorado",happening,64.554
8125,"Yuma County, Colorado",human,48.958
9001,"Fairfield County, Connecticut",happening,78.108
9001,"Fairfield County, Connecticut",human,66.186
9003,"Hartford County, Connecticut",happening,74.711
9003,"Hartford County, Connecticut",human,57.181
9005,"Litchfield County, Connecticut",happening,68.12
9005,"Litchfield County, Connecticut",human,53.073
9007,"Middlesex County, Connecticut",happening,74.024
9007,"Middlesex County, Connecticut",human,58.643
9009,"New Haven County, Connecticut",happening,76.322
9009,"New Haven County, Connecticut",human,58.091
9011,"New London County, Connecticut",happening,69.036
9011,"New London County, Connecticut",human,55.997
9013,"Tolland County, Connecticut",happening,73.17
9013,"Tolland County, Connecticut",human,58.743
9015,"Windham County, Connecticut",happening,64.832
9015,"Windham County, Connecticut",human,53.885
10001,"Kent County, Delaware",happening,71.859
10001,"Kent County, Delaware",human,50.658
10003,"New Castle County, Delaware",happening,72.726
10003,"New Castle County, Delaware",human,56.831
10005,"Sussex County, Delaware",happening,70.64
10005,"Sussex County, Delaware",human,55.351
11001,"District of Columbia, District of Columbia",happening,83.326
