objectid,zip_code,po_name,state,borough,st_fips,cty_fips,bld_gpostal_code,shape_leng,shape_area,x_id
190,11697,Breezy Point,NY,Queens,36,081,0,48880.2672234,59789760.6207,http://nyc.pediacities.com/Resource/PostalCode/11697
191,10312,Staten Island,NY,Staten Island,36,085,0,65791.9288692,169087432.912,http://nyc.pediacities.com/Resource/PostalCode/10312
192,10309,Staten Island,NY,Staten Island,36,085,0,79038.5334731,215835793.513,http://nyc.pediacities.com/Resource/PostalCode/10309
193,10307,Staten Island,NY,Staten Island,36,085,0,31375.3132189,46028382.6284,http://nyc.pediacities.com/Resource/PostalCode/10307
194,10280,New York,NY,Manhattan,36,061,0,8192.12492629,2234113.99487,http://nyc.pediacities.com/Resource/PostalCode/10280
195,10048,New York,NY,Manhattan,36,061,0,4033.60069883,972788.42696,http://nyc.pediacities.com/Resource/PostalCode/10048
196,10279,New York,NY,Manhattan,36,061,1,680.943500465,28664.7058134,http://nyc.pediacities.com/Resource/PostalCode/10279
197,10165,New York,NY,Manhattan,36,061,1,985.263293999,40779.8152022,http://nyc.pediacities.com/Resource/PostalCode/10165
198,10168,New York,NY,Manhattan,36,061,1,742.127233302,27810.1220594,http://nyc.pediacities.com/Resource/PostalCode/10168
199,10055,New York,NY,Manhattan,36,061,1,842.265584049,37223.5387892,http://nyc.pediacities.com/Resource/PostalCode/10055
200,10105,New York,NY,Manhattan,36,061,1,769.015785846,35422.1567546,http://nyc.pediacities.com/Resource/PostalCode/10105
201,10118,New York,NY,Manhattan,36,061,1,1392.54638041,91733.7153701,http://nyc.pediacities.com/Resource/PostalCode/10118
202,10176,New York,NY,Manhattan,36,061,1,590.377332961,18289.0897346,http://nyc.pediacities.com/Resource/PostalCode/10176
203,10162,New York,NY,Manhattan,36,061,1,624.792615306,21034.8869204,http://nyc.pediacities.com/Resource/PostalCode/10162
204,10019,New York,NY,Manhattan,36,061,0,24983.4416282,18828383.1169,http://nyc.pediacities.com/Resource/PostalCode/10019
205,10111,New York,NY,Manhattan,36,061,0,1311.83994069,103066.25326,http://nyc.pediacities.com/Resource/PostalCode/10111
206,10170,New York,NY,Manhattan,36,061,1,999.928298243,61793.1751378,http://nyc.pediacities.com/Resource/PostalCode/10170
207,10112,New York,NY,Manhattan,36,061,1,521.003076773,16700.7379806,http://nyc.pediacities.com/Resource/PostalCode/10112
208,10122,New York,NY,Manhattan,36,061,1,705.234391855,23294.6381032,http://nyc.pediacities.com/Resource/PostalCode/10122
209,10107,New York,NY,Manhattan,36,061,1,716.959417135,23030.1758969,http://nyc.pediacities.com/Resource/PostalCode/10107
210,10103,New York,NY,Manhattan,36,061,1,1038.49399077,62713.2534062,http://nyc.pediacities.com/Resource/PostalCode/10103
211,10153,New York,NY,Manhattan,36,061,1,1209.55793209,80339.6472271,http://nyc.pediacities.com/Resource/PostalCode/10153
212,10174,New York,NY,Manhattan,36,061,1,841.826840295,44203.2255484,http://nyc.pediacities.com/Resource/PostalCode/10174
213,10166,New York,NY,Manhattan,36,061,1,1363.60566379,110438.62317,http://nyc.pediacities.com/Resource/PostalCode/10166
214,10169,New York,NY,Manhattan,36,061,1,1112.84879736,66246.3463652,http://nyc.pediacities.com/Resource/PostalCode/10169
215,10167,New York,NY,Manhattan,36,061,1,1209.13569938,80926.1872511,http://nyc.pediacities.com/Resource/PostalCode/10167
216,10177,New York,NY,Manhattan,36,061,1,645.753044366,24688.0511035,http://nyc.pediacities.com/Resource/PostalCode/10177
217,10172,New York,NY,Manhattan,36,061,1,1202.12732775,79589.1001039,http://nyc.pediacities.com/Resource/PostalCode/10172
218,10171,New York,NY,Manhattan,36,061,1,613.861640526,23525.085921,http://nyc.pediacities.com/Resource/PostalCode/10171
219,10154,New York,NY,Manhattan,36,061,1,1201.2224447,79148.8023924,http://nyc.pediacities.com/Resource/PostalCode/10154
220,10152,New York,NY,Manhattan,36,061,1,1004.59891608,59924.9982704,http://nyc.pediacities.com/Resource/PostalCode/10152
221,10270,New York,NY,Manhattan,36,061,1,753.005571394,31255.8004282,http://nyc.pediacities.com/Resource/PostalCode/10270
222,10104,New York,NY,Manhattan,36,061,1,1294.59643948,89721.8525423,http://nyc.pediacities.com/Resource/PostalCode/10104
223,10271,New York,NY,Manhattan,36,061,1,939.597342522,49236.8772023,http://nyc.pediacities.com/Resource/PostalCode/10271
224,10110,New York,NY,Manhattan,36,061,1,615.250307935,21249.0635162,http://nyc.pediacities.com/Resource/PostalCode/10110
225,10175,New York,NY,Manhattan,36,061,1,573.87163626,18685.3945268,http://nyc.pediacities.com/Resource/PostalCode/10175
226,10151,New York,NY,Manhattan,36,061,1,630.44726526,21380.2683788,http://nyc.pediacities.com/Resource/PostalCode/10151
227,10173,New York,NY,Manhattan,36,061,1,1188.47810172,25689.4205868,http://nyc.pediacities.com/Resource/PostalCode/10173
228,10178,New York,NY,Manhattan,36,061,1,943.808411779,51303.0376357,http://nyc.pediacities.com/Resource/PostalCode/10178
229,10119,New York,NY,Manhattan,36,061,1,1679.33368634,126392.973553,http://nyc.pediacities.com/Resource/PostalCode/10119
230,10121,New York,NY,Manhattan,36,061,1,1413.87037112,115104.799339,http://nyc.pediacities.com/Resource/PostalCode/10121
231,10115,New York,NY,Manhattan,36,061,0,1074.60573658,71720.1250888,http://nyc.pediacities.com/Resource/PostalCode/10115
232,10123,New York,NY,Manhattan,36,061,1,662.039084632,16138.5369623,http://nyc.pediacities.com/Resource/PostalCode/10123
233,10106,New York,NY,Manhattan,36,061,1,863.486068222,31052.5527962,http://nyc.pediacities.com/Resource/PostalCode/10106
234,10158,New York,NY,Manhattan,36,061,1,776.992636762,35395.7701438,http://nyc.pediacities.com/Resource/PostalCode/10158
235,10041,New York,NY,Manhattan,36,061,1,1641.8246091,162236.646863,http://nyc.pediacities.com/Resource/PostalCode/10041
236,10120,New York,NY,Manhattan,36,061,1,854.894397691,35179.27222,http://nyc.pediacities.com/Resource/PostalCode/10120
237,10278,New York,NY,Manhattan,36,061,1,1889.28778604,206705.99517,http://nyc.pediacities.com/Resource/PostalCode/10278
238,10155,New York,NY,Manhattan,36,061,1,838.808390777,24784.6885389,http://nyc.pediacities.com/Resource/PostalCode/10155
239,10022,New York,NY,Manhattan,36,061,0,14672.45315,12728335.6232,http://nyc.pediacities.com/Resource/PostalCode/10022
240,10043,New York,NY,Manhattan,36,061,1,788.626538246,38262.3648074,http://nyc.pediacities.com/Resource/PostalCode/10043
241,10081,New York,NY,Manhattan,36,061,1,777.935098182,30240.5054524,http://nyc.pediacities.com/Resource/PostalCode/10081
242,10096,New York,NY,Manhattan,36,061,1,850.992695768,42106.1146917,http://nyc.pediacities.com/Resource/PostalCode/10096
243,10097,New York,NY,Manhattan,36,061,1,1169.90999345,65826.1779787,http://nyc.pediacities.com/Resource/PostalCode/10097
244,10196,New York,NY,Manhattan,36,061,1,721.137291042,32502.4403307,http://nyc.pediacities.com/Resource/PostalCode/10196
245,10196,New York,NY,Manhattan,36,061,1,289.273986047,3154.82497349,http://nyc.pediacities.com/Resource/PostalCode/10196
246,10275,New York,NY,Manhattan,36,061,1,885.361027718,48280.4150043,http://nyc.pediacities.com/Resource/PostalCode/10275
247,10265,New York,NY,Manhattan,36,061,1,528.531814926,17229.1549665,http://nyc.pediacities.com/Resource/PostalCode/10265
248,10045,New York,NY,Manhattan,36,061,1,1050.93179817,47808.9854242,http://nyc.pediacities.com/Resource/PostalCode/10045
249,10047,New York,NY,Manhattan,36,061,1,544.562515041,10149.7796831,http://nyc.pediacities.com/Resource/PostalCode/10047
250,10047,New York,NY,Manhattan,36,061,1,544.562515041,10149.7796831,http://nyc.pediacities.com/Resource/PostalCode/10047
251,10080,New York,NY,Manhattan,36,061,1,1312.78059796,77111.44771,http://nyc.pediacities.com/Resource/PostalCode/10080
252,10203,New York,NY,Manhattan,36,061,1,909.93965936,37226.8835853,http://nyc.pediacities.com/Resource/PostalCode/10203
253,10259,New York,NY,Manhattan,36,061,1,620.157860973,21064.3129523,http://nyc.pediacities.com/Resource/PostalCode/10259
254,10260,New York,NY,Manhattan,36,061,1,980.356289437,52514.7350789,http://nyc.pediacities.com/Resource/PostalCode/10260
255,10285,New York,NY,Manhattan,36,061,1,1067.98354189,67350.3889582,http://nyc.pediacities.com/Resource/PostalCode/10285
256,10286,New York,NY,Manhattan,36,061,1,437.699280281,11264.4123791,http://nyc.pediacities.com/Resource/PostalCode/10286
257,11370,Bronx,NY,Bronx,36,005,0,17837.7211487,18190205.187,http://nyc.pediacities.com/Resource/PostalCode/11370
258,10065,New York,NY,Manhattan,36,061,0,15541.7433636,11442579.5473,http://nyc.pediacities.com/Resource/PostalCode/10065
259,10075,New York,NY,Manhattan,36,061,0,13540.7653344,4809654.93064,http://nyc.pediacities.com/Resource/PostalCode/10075
260,10069,New York,NY,Manhattan,36,061,0,7780.63213312,2372365.88899,http://nyc.pediacities.com/Resource/PostalCode/10069
261,10281,New York,NY,Manhattan,36,061,0,4717.02526596,958087.21122,http://nyc.pediacities.com/Resource/PostalCode/10281
262,10282,New York,NY,Manhattan,36,061,0,6083.86976116,1561954.68329,http://nyc.pediacities.com/Resource/PostalCode/10282
