yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,X2B,X3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro,TB,WinPct,rpg,hrpg,tbpg,kpg,k2bb,whip
2010,NL,MIL,MIL,C,3,162,81,77,85,N,N,N,N,750,5606,1471,293,33,182,546,1216,81,26,81,35,804,733,4.58,3,7,35,4317,1487,173,582,1258,101,142,0.983,Milwaukee Brewers,Miller Park,2776531,98,98,MIL,ML4,MIL,2376,0.47530864197530864,4.62962962962963,1.123456790123457,14.666666666666666,7.506172839506172,2.227106227106227,1.4016678248783878
2010,AL,MIN,MIN,C,1,162,81,94,68,Y,N,N,N,781,5568,1521,318,41,142,559,967,68,28,39,53,671,638,3.95,9,13,40,4358,1493,155,383,1048,78,150,0.987,Minnesota Twins,Target Field,3223640,101,100,MIN,MIN,MIN,2347,0.5802469135802469,4.820987654320987,0.8765432098765432,14.487654320987655,5.969135802469136,1.7298747763864042,1.4318494722349702
2010,AL,NYA,NYY,E,2,162,81,95,67,N,Y,N,N,859,5567,1485,275,32,201,662,1136,103,30,73,44,693,651,4.06,3,8,39,4327,1349,179,540,1154,69,161,0.988,New York Yankees,Yankee Stadium III,3765807,105,103,NYY,NYA,NYA,2427,0.5864197530864198,5.302469135802469,1.2407407407407407,14.98148148148148,7.012345679012346,1.716012084592145,1.4885602033741625
2010,NL,NYN,NYM,E,4,162,81,79,83,N,N,N,N,656,5465,1361,266,40,128,502,1095,130,44,46,57,652,597,3.7,8,19,36,4359,1438,135,545,1106,87,159,0.986,New York Mets,Citi Field,2559738,97,97,NYM,NYN,NYN,2091,0.4876543209876543,4.049382716049383,0.7901234567901234,12.907407407407408,6.7592592592592595,2.181274900398406,1.2821748107364077
2010,AL,OAK,OAK,W,2,162,81,81,81,N,N,N,N,663,5448,1396,276,30,109,527,1061,156,38,47,51,626,566,3.56,7,17,38,4295,1315,153,512,1070,99,147,0.984,Oakland Athletics,Oakland-Alameda County Coliseum,1418391,100,100,OAK,OAK,OAK,2059,0.5,4.092592592592593,0.6728395061728395,12.709876543209877,6.549382716049383,2.0132827324478177,1.3431897555296857
2010,NL,PHI,PHI,E,1,162,84,97,65,Y,N,N,N,772,5581,1451,290,34,166,560,1064,108,21,63,43,640,594,3.67,14,21,40,4369,1402,168,416,1183,83,158,0.986,Philadelphia Phillies,Citizens Bank Park,3647249,101,100,PHI,PHI,PHI,2307,0.5987654320987654,4.765432098765432,1.0246913580246917,14.24074074074074,6.567901234567901,1.9,1.3808651865415429
2010,NL,PIT,PIT,C,6,162,81,57,105,N,N,N,N,587,5386,1303,276,27,126,463,1207,87,36,33,33,866,784,5,1,6,31,4235,1567,167,538,1026,127,120,0.979,Pittsburgh Pirates,PNC Park,1613399,99,101,PIT,PIT,PIT,2011,0.35185185185185186,3.623456790123457,0.7777777777777778,12.41358024691358,7.450617283950617,2.6069114470842334,1.2510035419126329
2010,NL,SDN,SDP,W,2,162,81,90,72,N,N,N,N,665,5434,1338,236,24,132,538,1183,124,50,50,46,581,549,3.39,2,20,49,4369,1305,139,517,1295,72,141,0.988,San Diego Padres,Petco Park,2131774,91,91,SDP,SDN,SDN,2018,0.5555555555555556,4.104938271604938,0.8148148148148148,12.45679012345679,7.302469135802469,2.1988847583643123,1.288166628519112
2010,AL,SEA,SEA,W,4,162,81,61,101,N,N,N,N,513,5409,1274,227,16,101,459,1184,142,39,39,40,698,628,3.93,11,10,38,4314,1402,157,452,973,110,145,0.982,Seattle Mariners,Safeco Field,2085488,93,95,SEA,SEA,SEA,1836,0.3765432098765432,3.1666666666666665,0.6234567901234568,11.333333333333334,7.308641975308642,2.579520697167756,1.205146036161335
2010,NL,SFN,SFG,W,1,162,81,92,70,Y,N,Y,Y,697,5488,1411,284,30,162,487,1099,55,32,50,41,583,546,3.36,6,17,57,4383,1279,134,578,1331,73,110,0.988,San Francisco Giants,AT&T Park,3037443,101,101,SFG,SFN,SFN,2241,0.5679012345679012,4.302469135802469,1,13.833333333333334,6.783950617283951,2.2566735112936347,1.299110198494182
2010,NL,SLN,STL,C,2,162,81,86,76,N,N,N,N,736,5542,1456,285,18,150,541,1027,79,41,50,40,641,577,3.57,7,16,32,4361,1412,133,477,1094,99,172,0.984,St. Louis Cardinals,Busch Stadium III,3301218,97,97,STL,SLN,SLN,2227,0.5308641975308642,4.54320987654321,0.925925925925926,13.746913580246911,6.339506172839506,1.8983364140480592,1.3737674845218986
2010,AL,TBA,TBD,E,1,162,81,96,66,Y,N,N,N,802,5439,1343,295,37,160,672,1292,172,47,57,57,649,611,3.78,6,12,51,4361,1347,175,478,1189,85,134,0.986,Tampa Bay Rays,Tropicana Field,1843445,96,95,TBR,TBA,TBA,2192,0.5925925925925926,4.950617283950617,0.9876543209876544,13.530864197530864,7.9753086419753085,1.9226190476190477,1.386149965604219
2010,AL,TEX,TEX,W,1,162,81,90,72,Y,N,Y,N,787,5635,1556,268,25,162,511,986,123,48,45,54,687,636,3.93,7,8,46,4366,1355,162,551,1181,105,133,0.982,Texas Rangers,Rangers Ballpark in Arlington,2505171,105,104,TEX,TEX,TEX,2360,0.5555555555555556,4.8580246913580245,1,14.567901234567902,6.08641975308642,1.929549902152642,1.4202931745304628
2010,AL,TOR,TOR,E,4,162,78,85,77,N,N,N,N,755,5495,1364,319,21,257,471,1164,58,20,55,34,728,676,4.22,5,11,45,4322,1407,150,539,1184,92,172,0.985,Toronto Blue Jays,Rogers Centre,1625555,100,100,TOR,TOR,TOR,2496,0.5246913580246914,4.660493827160494,1.5864197530864197,15.407407407407408,7.185185185185185,2.4713375796178343,1.2737158722813513
2010,NL,WAS,WSN,E,5,162,81,69,93,N,N,N,N,655,5418,1355,250,31,149,503,1220,110,41,60,47,742,658,4.13,2,5,37,4305,1469,151,512,1068,127,148,0.979,Washington Nationals,Nationals Park,1828066,99,100,WSN,MON,WAS,2114,0.42592592592592593,4.04320987654321,0.9197530864197532,13.049382716049385,7.530864197530864,2.4254473161033796,1.294773519163763
2011,NL,ARI,ARI,W,1,162,81,94,68,Y,N,N,N,731,5421,1357,293,37,172,531,1249,133,55,61,33,662,609,3.8,5,12,58,4330,1414,159,442,1058,90,131,0.985,Arizona Diamondbacks,Chase Field,2105432,107,106,ARI,ARI,ARI,2240,0.5802469135802469,4.512345679012346,1.0617283950617284,13.82716049382716,7.709876543209877,2.352165725047081,1.308083140877598
2011,NL,ATL,ATL,E,2,162,81,89,73,N,N,N,N,641,5528,1345,244,16,173,504,1260,77,44,28,30,605,572,3.48,3,16,52,4439,1332,125,521,1332,83,131,0.987,Atlanta Braves,Turner Field,2372940,98,98,ATL,ATL,ATL,2140,0.5493827160493827,3.95679012345679,1.067901234567901,13.209876543209877,7.777777777777778,2.5,1.249605767064654
2011,AL,BAL,BAL,E,5,162,81,69,93,N,N,N,N,708,5585,1434,273,13,191,452,1120,81,25,52,43,860,786,4.89,3,7,32,4340,1568,210,535,1044,110,159,0.982,Baltimore Orioles,Oriole Park at Camden Yards,1755461,96,97,BAL,BAL,BAL,2306,0.42592592592592593,4.37037037037037,1.1790123456790125,14.234567901234568,6.91358024691358,2.47787610619469,1.3036866359447004
2011,AL,BOS,BOS,E,3,162,81,90,72,N,N,N,N,875,5710,1600,352,35,203,578,1108,102,42,50,50,737,680,4.2,2,13,36,4372,1366,156,540,1213,92,120,0.985,Boston Red Sox,Fenway Park II,3054001,106,105,BOS,BOS,BOS,2631,0.5555555555555556,5.401234567901234,1.2530864197530864,16.24074074074074,6.839506172839506,1.916955017301038,1.4945105215004575
2011,AL,CHA,CHW,C,3,162,81,79,83,N,N,N,N,654,5502,1387,252,16,154,475,989,81,53,84,46,706,665,4.1,6,14,42,4380,1463,147,439,1220,79,129,0.987,Chicago White Sox,U.S. Cellular Field,2001117,99,100,CHW,CHA,CHA,2133,0.4876543209876543,4.037037037037037,0.9506172839506172,13.166666666666666,6.104938271604938,2.082105263157895,1.2753424657534247
2011,NL,CHN,CHC,C,5,162,81,71,91,N,N,N,N,654,5549,1423,285,36,148,425,1202,69,23,59,35,756,690,4.33,4,5,40,4303,1439,162,580,1224,134,128,0.978,Chicago Cubs,Wrigley Field,3017966,96,97,CHC,CHN,CHN,2224,0.4382716049382716,4.037037037037037,0.9135802469135802,13.728395061728396,7.419753086419753,2.828235294117647,1.2884034394608412
