tconst,title_type,primary_title,simple_title,year,runtime_minutes,average_rating,num_votes
tt0182983,tvMovie,Inheritance Up Christmas,inheritance up christmas,1995,90,5.4,442
tt0183681,movie,Friday Is No Holiday,friday is no holiday,1980,83,5.8,51
tt0185235,video,Classic Christmas,classic christmas,1995,48,6.4,13
tt0187774,tvMovie,Carry on Christmas,carry on christmas,1973,50,5.9,257
tt0187775,tvMovie,Carry on Christmas: Carry on Stuffing,carry on christmas carry on stuffing,1972,50,5.5,205
tt0188504,tvMovie,A Christmas Carol,a christmas carol,1977,58,6.5,555
tt0189741,movie,Future Memories: Last Christmas,future memories last christmas,1992,118,6.9,56
tt0193163,tvMovie,A Flintstone Christmas,a flintstone christmas,1977,60,6.8,925
tt0193164,tvMovie,A Flintstones Christmas Carol,a flintstones christmas carol,1994,69,6.8,1558
tt0193430,movie,Holiday in Sarajevo,holiday in sarajevo,1991,87,7.2,185
tt0193524,tvMovie,The Star Wars Holiday Special,the star wars holiday special,1978,97,2.1,16397
tt0195039,movie,Magic Christmas Tree,magic christmas tree,1964,60,2.4,308
tt0196565,movie,Mediterranean Holiday,mediterranean holiday,1962,158,7.5,87
tt0198321,tvMovie,"Bah, Humbug!: The Story of Charles Dickens' 'A Christmas Carol'",bah humbug the story of charles dickens a christmas carol,1994,58,7.7,54
tt0199161,tvMovie,Yogi's First Christmas,yogis first christmas,1980,98,7.1,996
tt0200245,movie,Christmas Vacation 2000,christmas vacation 2000,1999,110,4.3,1182
tt0204956,tvMovie,Christmas in Malibu,christmas in malibu,1999,NA,4.1,15
tt0208654,tvMovie,'Twas the Night Before Christmas,twas the night before christmas,1974,25,7.3,3608
tt0213965,tvMovie,A Holiday Romance,a holiday romance,1999,91,6.5,489
tt0214227,movie,The Last Day of School Before Christmas,the last day of school before christmas,1975,88,6,35
tt0216621,tvMovie,A Christmas Carol,a christmas carol,1999,95,7.4,10364
tt0216735,movie,Holiday,holiday,1999,105,6.4,67
tt0217978,movie,'R Xmas,r xmas,2001,85,5.7,1588
tt0218066,movie,A Calcutta Christmas,a calcutta christmas,1999,53,6.8,15
tt0219095,video,In the Christmas Spirit,in the christmas spirit,1999,60,5.3,13
tt0220159,tvMovie,Winnie the Pooh & Christmas Too,winnie the pooh  christmas too,1991,26,7.3,1616
tt0220525,video,A Hollywood Christmas,a hollywood christmas,1996,90,7.2,49
tt0220616,movie,A Little Christmas Story,a little christmas story,1999,58,6.3,176
tt0221074,movie,Christmas in the Clouds,christmas in the clouds,2001,96,6.4,863
tt0222925,movie,Canadian Holidays,canadian holidays,1985,NA,5.6,12
tt0223467,movie,Hoodoo McFiggin's Christmas,hoodoo mcfiggins christmas,1995,NA,6.6,10
tt0223623,tvMovie,Last Christmas,last christmas,1999,80,5.8,84
tt0223634,tvMovie,The Leprechauns' Christmas Gold,the leprechauns christmas gold,1981,25,6.2,719
tt0225393,tvMovie,A Christmas Carol,a christmas carol,1947,NA,4.7,70
tt0225394,tvMovie,The Christmas Carol,the christmas carol,1949,25,6,409
tt0225829,tvMovie,The GLO Friends Save Christmas,the glo friends save christmas,1985,NA,7.5,93
tt0228137,tvMovie,Christmas Carol,christmas carol,1984,NA,7,118
tt0228296,tvMovie,"Feliz Christmas, Merry Navidad",feliz christmas merry navidad,1999,NA,6,12
tt0228332,tvMovie,Trans-Siberian Orchestra: The Ghosts of Christmas Eve,transsiberian orchestra the ghosts of christmas eve,1999,46,8.2,533
tt0230744,tvMovie,Scrooge: A Christmas Carol,scrooge a christmas carol,1989,NA,7.6,198
tt0231364,tvMovie,Christmas in Disneyland,christmas in disneyland,1976,60,6.2,25
tt0233828,movie,The Long Holiday,the long holiday,2000,145,7.9,116
tt0235846,movie,Unnikrishnante Adyathe Christmas,unnikrishnante adyathe christmas,1988,130,5.1,26
tt0237604,movie,Holiday for a Dog,holiday for a dog,1981,78,6.5,100
tt0238063,video,Barney's Night Before Christmas,barneys night before christmas,1999,57,5.5,264
tt0238121,movie,A Christmas Tree and a Wedding,a christmas tree and a wedding,2000,90,8.3,57
tt0238414,video,Mickey's Once Upon a Christmas,mickeys once upon a christmas,1999,66,7,9890
tt0240878,tvMovie,Santa's Last Christmas,santas last christmas,1999,30,6.7,44
tt0241966,tvMovie,A Snow White Christmas,a snow white christmas,1980,60,5.8,186
tt0242135,video,We Wish You a Merry Christmas,we wish you a merry christmas,1999,48,6.3,108
tt0242389,tvMovie,The Country Mouse & the City Mouse: A Christmas Tale,the country mouse  the city mouse a christmas tale,1993,25,8.3,49
tt0242848,tvMovie,Once Upon a Christmas,once upon a christmas,2000,90,5.3,931
tt0243372,tvMovie,Lamb Chop's Chanukah and Passover Surprise,lamb chops chanukah and passover surprise,1996,60,7,33
tt0243375,tvMovie,Lamb Chop's Special Chanukah,lamb chops special chanukah,1995,60,8.5,42
tt0244462,movie,A Christmas Story at the Vatican,a christmas story at the vatican,1991,NA,2.2,15
tt0245052,movie,Christmas in the Holy Land,christmas in the holy land,1971,NA,2.9,11
tt0245836,tvMovie,The Christmas Angel: A Story on Ice,the christmas angel a story on ice,1998,45,7,43
tt0249991,movie,The Story of Christmas,the story of christmas,1994,47,6.9,50
tt0250038,video,"Teletubbies: Merry Christmas, Teletubbies!",teletubbies merry christmas teletubbies,1999,90,4.2,30
tt0250425,tvMovie,Holiday Heart,holiday heart,2000,96,7.4,1379
tt0250948,tvMovie,Aliens First Christmas,aliens first christmas,1991,23,6.8,65
tt0251021,tvMovie,Christmas Unwrapped: The History of Christmas,christmas unwrapped the history of christmas,1997,50,7.4,135
tt0251126,video,How the Grinch Stole Christmas!,how the grinch stole christmas,1992,30,7.8,750
tt0251282,tvMovie,A Muppet Family Christmas,a muppet family christmas,1987,47,8.1,4471
tt0251640,tvMovie,Christmas at Pee-wee's Playhouse,christmas at peewees playhouse,1988,49,7.7,1552
tt0252028,movie,Surviving Christmas,surviving christmas,2004,91,5.4,26588
tt0256466,tvMovie,The Ultimate Christmas Present,the ultimate christmas present,2000,85,5.6,1911
tt0257255,movie,A Very Christmas Story,a very christmas story,2000,82,5.1,59
tt0257484,tvMovie,Christmas Snow,christmas snow,1986,60,7.3,408
tt0259459,tvMovie,Nearly No Christmas,nearly no christmas,1983,60,2.4,125
tt0259741,movie,Summer Holiday,summer holiday,2000,98,5.7,518
tt0259894,video,A Bing Crosby Christmas,a bing crosby christmas,1998,60,6.9,77
tt0259929,movie,Christmas Carol: The Movie,christmas carol the movie,2001,81,5.3,2097
tt0260824,tvMovie,A Cool Like That Christmas,a cool like that christmas,1993,22,6.6,65
tt0261823,tvMovie,How to Marry a Billionaire: A Christmas Tale,how to marry a billionaire a christmas tale,2000,100,4.6,466
tt0261843,movie,Bingo! Holiday Kids!,bingo holiday kids,1984,103,4.6,18
tt0262815,video,Teletubbies: Christmas in the Snow,teletubbies christmas in the snow,2000,90,4.7,57
tt0263206,video,Christmas in South Park,christmas in south park,2000,100,8.3,4400
tt0264483,movie,The Christmas Path,the christmas path,1998,95,3.9,159
tt0267978,tvMovie,Timothy Tweedle the First Christmas Elf,timothy tweedle the first christmas elf,2000,51,6.3,53
tt0268096,tvMovie,Christmas in Tattertown,christmas in tattertown,1988,29,6.2,96
tt0268677,video,The Tangerine Bear: Home in Time for Christmas!,the tangerine bear home in time for christmas,2000,48,7,563
tt0268948,tvMovie,Arthur's Perfect Christmas,arthurs perfect christmas,2000,60,7.8,586
tt0269331,movie,Holiday in Bombay,holiday in bombay,1963,NA,6,25
tt0269988,tvMovie,Tukiki and His Search for a Merry Christmas,tukiki and his search for a merry christmas,1979,30,7.2,24
tt0270278,tvMovie,Christmas Carol,christmas carol,1978,50,7.4,399
tt0270281,tvMovie,The Christmas Tree Train,the christmas tree train,1983,30,7,69
tt0270317,tvMovie,A Diva's Christmas Carol,a divas christmas carol,2000,120,6.4,1337
