date,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
2022-04-17,17/04/2022,West Ham,Burnley,1,1,D,0,1,A
2022-04-19,19/04/2022,Liverpool,Man United,4,0,H,2,0,H
2022-04-20,20/04/2022,Chelsea,Arsenal,2,4,A,2,2,D
2022-04-20,20/04/2022,Everton,Leicester,1,1,D,0,1,A
2022-04-20,20/04/2022,Newcastle,Crystal Palace,1,0,H,1,0,H
2022-04-20,20/04/2022,Man City,Brighton,3,0,H,0,0,D
2022-04-21,21/04/2022,Burnley,Southampton,2,0,H,2,0,H
2022-04-23,23/04/2022,Arsenal,Man United,3,1,H,2,1,H
2022-04-23,23/04/2022,Leicester,Aston Villa,0,0,D,0,0,D
2022-04-23,23/04/2022,Man City,Watford,5,1,H,3,1,H
2022-04-23,23/04/2022,Norwich,Newcastle,0,3,A,0,2,A
2022-04-23,23/04/2022,Brentford,Tottenham,0,0,D,0,0,D
2022-04-24,24/04/2022,Brighton,Southampton,2,2,D,2,1,H
2022-04-24,24/04/2022,Burnley,Wolves,1,0,H,0,0,D
2022-04-24,24/04/2022,Chelsea,West Ham,1,0,H,0,0,D
2022-04-24,24/04/2022,Liverpool,Everton,2,0,H,0,0,D
2022-04-25,25/04/2022,Crystal Palace,Leeds,0,0,D,0,0,D
2022-04-28,28/04/2022,Man United,Chelsea,1,1,D,0,0,D
2022-04-30,30/04/2022,Newcastle,Liverpool,0,1,A,0,1,A
2022-04-30,30/04/2022,Aston Villa,Norwich,2,0,H,1,0,H
2022-04-30,30/04/2022,Southampton,Crystal Palace,1,2,A,1,0,H
2022-04-30,30/04/2022,Watford,Burnley,1,2,A,1,0,H
2022-04-30,30/04/2022,Wolves,Brighton,0,3,A,0,1,A
2022-04-30,30/04/2022,Leeds,Man City,0,4,A,0,1,A
2022-05-01,01/05/2022,Everton,Chelsea,1,0,H,0,0,D
2022-05-01,01/05/2022,Tottenham,Leicester,3,1,H,1,0,H
2022-05-01,01/05/2022,West Ham,Arsenal,1,2,A,1,1,D
2022-05-02,02/05/2022,Man United,Brentford,3,0,H,1,0,H
2022-05-07,07/05/2022,Brentford,Southampton,3,0,H,2,0,H
2022-05-07,07/05/2022,Burnley,Aston Villa,1,3,A,0,2,A
2022-05-07,07/05/2022,Chelsea,Wolves,2,2,D,0,0,D
2022-05-07,07/05/2022,Crystal Palace,Watford,1,0,H,1,0,H
2022-05-07,07/05/2022,Brighton,Man United,4,0,H,1,0,H
2022-05-07,07/05/2022,Liverpool,Tottenham,1,1,D,0,0,D
2022-05-08,08/05/2022,Arsenal,Leeds,2,1,H,2,0,H
2022-05-08,08/05/2022,Leicester,Everton,1,2,A,1,2,A
2022-05-08,08/05/2022,Norwich,West Ham,0,4,A,0,3,A
2022-05-08,08/05/2022,Man City,Newcastle,5,0,H,2,0,H
2022-05-10,10/05/2022,Aston Villa,Liverpool,1,2,A,1,1,D
2022-05-11,11/05/2022,Leeds,Chelsea,0,3,A,0,1,A
2022-05-11,11/05/2022,Leicester,Norwich,3,0,H,0,0,D
2022-05-11,11/05/2022,Watford,Everton,0,0,D,0,0,D
2022-05-11,11/05/2022,Wolves,Man City,1,5,A,1,3,A
2022-05-12,12/05/2022,Tottenham,Arsenal,3,0,H,2,0,H
2022-05-15,15/05/2022,Tottenham,Burnley,1,0,H,1,0,H
2022-05-15,15/05/2022,Aston Villa,Crystal Palace,1,1,D,0,0,D
2022-05-15,15/05/2022,Leeds,Brighton,1,1,D,0,1,A
2022-05-15,15/05/2022,Watford,Leicester,1,5,A,1,2,A
2022-05-15,15/05/2022,West Ham,Man City,2,2,D,2,0,H
2022-05-15,15/05/2022,Wolves,Norwich,1,1,D,0,1,A
2022-05-15,15/05/2022,Everton,Brentford,2,3,A,2,1,H
2022-05-16,16/05/2022,Newcastle,Arsenal,2,0,H,0,0,D
2022-05-17,17/05/2022,Southampton,Liverpool,1,2,A,1,1,D
2022-05-19,19/05/2022,Everton,Crystal Palace,3,2,H,0,2,A
2022-05-19,19/05/2022,Aston Villa,Burnley,1,1,D,0,1,A
2022-05-19,19/05/2022,Chelsea,Leicester,1,1,D,1,1,D
2022-05-22,22/05/2022,Arsenal,Everton,5,1,H,2,1,H
2022-05-22,22/05/2022,Brentford,Leeds,1,2,A,0,0,D
