id_player,Born,City,Cntry,Nat,Ht,Wt,Last_Name,First_Name,Position,Team,GP,G,A,TOI,TOI_GP
502,14.10.1992,St. Louis,USA,USA,76,224,Mayfield,Scott,D,NYI,25,2,7,21210,14.13
503,25.02.1988,Edina,USA,USA,73,180,McBain,Jamie,D,ARI,3,0,0,3000,16.67
504,12.10.1993,Eau Claire,USA,USA,73,209,McCabe,Jake,D,BUF,76,3,17,94415,20.7
505,31.05.1996,Stratford,CAN,CAN,73,198,McCann,Jared,C,FLA,29,1,6,20245,11.63
506,07.03.1995,Grosse Pointe,USA,USA,78,231,McCarron,Michael,RW/C,MTL,31,1,4,18393,9.88
507,02.03.1983,Kingston,CAN,CAN,73,205,McClement,Jay,C,CAR,65,5,3,44392,11.38
508,01.05.1992,De Pere,USA,USA,71,188,McCormick,Max,RW/LW/C,OTT,7,0,0,2839,6.77
509,05.08.1995,Anaheim,USA,USA,75,217,McCoshen,Ian,D,FLA,3,0,1,2386,13.25
510,13.01.1997,Richmond Hill,CAN,CAN,73,200,McDavid,Connor,C,EDM,82,30,70,103967,21.13
511,13.06.1989,St. Paul,USA,USA,73,216,McDonagh,Ryan,D,NYR,77,6,36,112530,24.35
512,30.09.1984,Wethersfield,USA,USA,74,219,McDonald,Colin,RW/C,PHI,3,1,0,1624,9.02
513,22.05.1994,Hamilton,CAN,CAN,74,203,McEneny,Evan,D,VAN,1,0,0,908,15.13
514,02.02.1994,Fergus,CAN,CAN,72,185,McGinn,Brock,LW,CAR,57,7,9,41031,12
515,05.08.1988,Fergus,CAN,CAN,73,205,McGinn,Jamie,LW/RW,ARI,72,9,8,56906,13.17
516,20.04.1992,Winnipeg,CAN,CAN,77,236,McIlrath,Dylan,D,FLA/NYR,6,1,0,3426,9.52
517,17.06.1992,St. Thomas,CAN,CAN,72,191,McKegg,Greg,C,FLA/T.B,46,3,4,27331,9.9
518,22.02.1991,Golden,CAN,CAN,74,205,McKenzie,Curtis,LW,DAL,53,6,10,34509,10.85
519,26.06.1984,Binscarth,CAN,CAN,74,210,McLeod,Cody,LW/RW,COL/NSH,59,5,1,25366,7.17
520,21.01.1991,Davidson,CAN,CAN,76,212,McNabb,Brayden,D,L.A,49,2,2,44292,15.07
521,22.02.1993,Langley,CAN,CAN,74,214,McNeill,Mark,C/RW,DAL,1,0,0,829,13.82
522,12.10.1986,Charlottetown,CAN,CAN,76,212,Mcquaid,Adam,D,BOS,77,2,8,84300,18.12
523,22.07.1990,Canton,USA,USA,73,192,Megan,Wade,C,STL,3,1,0,1584,8.8
524,10.12.1992,Plantation,USA,USA,78,225,Megna,Jaycob,D,ANA,1,0,0,920,15.33
525,01.02.1990,Fort Lauderdale,USA,USA,73,195,Megna,Jayson,C,VAN,58,4,4,43271,12.43
526,08.10.1996,Herisau,CHE,CHE,72,210,Meier,Timo,RW,S.J,34,3,3,25446,12.47
527,06.12.1991,Richmond Hill,CAN,CAN,77,214,Melchiori,Julian,D,WPG,18,0,2,19837,18.37
528,03.02.1992,Oklahoma City,USA,USA,75,205,Merrill,Jon,D,N.J,51,1,5,56813,18.75
529,21.06.1985,Ottawa,CAN,CAN,75,220,Methot,Marc,D,OTT,68,0,12,80877,19.82
530,07.12.1984,Jindrichuv Hradec,CZE,CZE,74,225,Michalek,Milan,LW/RW,TOR,5,1,1,4281,14.27
531,23.12.1982,Jindrichuv Hradec,CZE,CZE,74,210,Michalek,Zbynek,D,ARI,3,0,0,3179,17.67
532,12.05.1996,Massapequa,USA,USA,74,197,Milano,Sonny,LW,CBJ,4,0,0,2804,11.68
533,29.10.1992,Sault Ste. Marie,CAN,CAN,73,196,Miller,Colin,D,BOS,61,6,7,57886,15.73
534,17.02.1984,Dover,USA,USA,74,183,Miller,Drew,LW/RW,DET,55,5,2,33929,10.28
535,14.03.1993,East Palestine,USA,USA,73,206,Miller,J.T.,LW/RW/C,NYR,82,22,34,80523,16.37
536,15.11.1987,Los Angeles,USA,USA,74,210,Miller,Kevan,D,BOS,58,3,10,61927,17.7
537,02.09.1991,Regina,CAN,CAN,71,198,Mitchell,Garrett,RW,WSH,1,0,0,528,8.8
538,22.01.1985,Oakville,CAN,CAN,73,204,Mitchell,John,C,COL,65,3,4,48960,12.55
539,30.01.1985,Greenfield Park,CAN,CAN,71,190,Mitchell,Torrey,C/RW,MTL,78,8,9,58992,12.6
540,07.01.1993,Orangeville,CAN,CAN,73,184,Mitchell,Zack,RW,MIN,11,0,0,5561,8.43
541,21.01.1994,TRENTON,USA,USA,71,171,Molino,Griffen,C,VAN,5,0,0,3176,10.58
542,12.10.1994,Brampton,CAN,CAN,75,195,Monahan,Sean,C,CGY,82,27,31,86478,17.58
543,11.04.1994,Brantford,CAN,CAN,72,192,Montour,Brandon,D,ANA,27,2,4,28157,17.38
544,03.08.1980,Thornhill,CAN,CAN,72,192,Moore,Dominic,C/LW,BOS,82,11,14,63673,12.88
545,19.11.1990,Winnetka,USA,USA,75,210,Moore,John,D,N.J,63,12,10,71731,18.85
546,12.07.1995,Lac-Beauport,CAN,CAN,78,202,Morin,Samuel,D,PHI,1,0,0,1067,17.78
547,28.03.1995,Calgary,CAN,CAN,72,195,Morrissey,Josh,D,WPG,82,6,14,95896,19.48
548,09.12.1992,Edmonton,CAN,CAN,72,199,Morrow,Joe,D,BOS,17,0,1,15836,15.53
549,10.03.1995,St. Clair,USA,USA,69,188,Motte,Tyler,LW/C,CHI,33,4,3,22546,11.38
550,01.11.1983,North York,CAN,CAN,73,200,Moulson,Matt,LW,BUF,81,14,18,56408,11.6
551,21.03.1995,Winterthur,CHE,CHE,75,210,Mueller,Mirco,D,S.J,4,1,1,2302,9.3
552,26.03.1993,Dublin,USA,USA,76,212,Murphy,Connor,D,ARI,77,2,15,88604,19.18
553,31.03.1993,Aurora,CAN,CAN,71,185,Murphy,Ryan,D,CAR,27,0,2,21339,13.17
554,27.09.1993,Regina,CAN,CAN,73,211,Murray,Ryan,D,CBJ,60,2,9,65999,18.33
555,21.02.1989,Woodstock,CAN,CAN,75,216,Muzzin,Jake,D,L.A,82,9,19,109688,22.3
556,01.02.1990,Houston,USA,CAN,80,229,Myers,Tyler,D,WPG,11,2,3,14657,22.2
557,30.12.1987,Hradec Králové,CZE,CZE,74,212,Nakladal,Jakub,D,CAR,3,0,0,2610,14.5
558,22.11.1992,Zhukovskiy,RUS,RUS,71,180,Namestnikov,Vladislav,C/LW,T.B,74,10,18,65645,14.78
559,16.06.1984,Brampton,CAN,CAN,76,212,Nash,Rick,RW/LW,NYR,67,23,15,66186,16.47
560,09.05.1989,Consort,CAN,CAN,73,200,Nash,Riley,C/RW,BOS,81,7,10,67094,13.73
561,03.09.1987,Whitby,CAN,CAN,74,221,Neal,James,RW/LW,NSH,70,23,18,74312,17.7
562,18.06.1979,Flesherton,CAN,CAN,73,209,Neil,Chris,RW,OTT,53,1,3,24077,7.57
563,15.10.1991,Warroad,USA,USA,75,206,Nelson,Brock,C/LW,NYI,81,20,25,76050,15.65
564,18.07.1992,Wisconsin Rapids,USA,USA,73,190,Nelson,Casey,D,BUF,11,0,0,8319,12.6
565,08.02.1992,Stockholm,SWE,SWE,75,215,Nemeth,Patrik,D,DAL,40,0,3,37869,15.78
566,18.05.1990,Roseau,USA,USA,70,184,Ness,Aaron,D,WSH,2,0,0,1540,12.83
567,28.03.1993,Chelyabinsk,RUS,RUS,71,191,Nesterov,Nikita,D,MTL/T.B,48,4,13,46901,16.28
568,22.02.1991,Prague,CZE,CZE,75,200,Nestrasil,Andrej,C/RW/LW,CAR,19,1,4,12430,10.9
569,08.09.1992,Chur,CHE,CHE,74,211,Niederreiter,Nino,RW,MIN,82,25,32,74153,15.07
570,24.04.1984,Herning,DNK,DNK,73,188,Nielsen,Frans,C,DET,79,17,24,81281,17.15
571,05.11.1992,Long Beach,USA,USA,71,190,Nieto,Matt,LW/RW,COL/S.J,59,7,6,52834,14.83
572,23.01.1994,Syracuse,USA,USA,75,219,Nieves,Cristoval,C/LW,NYR,1,0,0,704,11.73
573,06.12.1986,Virginia,USA,USA,73,200,Niskanen,Matt,D,WSH,78,5,34,103784,22.18
574,12.02.1993,Plano,USA,USA,73,205,Noesen,Stefan,RW,ANA/N.J,44,8,2,29371,11.13
