company,Date,Open,High,Low,Close,Adj Close,Volume
NFLX,2023-01-24,357.529999,365.649994,355.140015,363.829987,363.829987,11796500
NVDA,2023-01-24,188.270004,194.949997,188.199997,192.649994,192.555511,49620400
TSLA,2023-01-24,143,146.5,141.100006,143.889999,143.889999,158699100
AMZN,2023-01-25,92.559998,97.239998,91.519997,97.18,97.18,94261600
APPL,2023-01-25,140.889999,142.429993,138.809998,141.860001,140.891708,65799300
GOOG,2023-01-25,97.199997,97.720001,95.262001,96.730003,96.730003,31000900
META,2023-01-25,141.220001,143.169998,140.309998,141.5,141.350021,26622000
MSFT,2023-01-25,234.479996,243.300003,230.899994,240.610001,238.055069,66526600
NFLX,2023-01-25,360.570007,368.899994,358.5,367.959991,367.959991,7766900
NVDA,2023-01-25,189.130005,193.699997,185.800003,193.229996,193.135239,44953700
TSLA,2023-01-25,141.910004,146.410004,138.070007,144.429993,144.429993,192734300
AMZN,2023-01-26,98.239998,99.489998,96.919998,99.220001,99.220001,68523600
APPL,2023-01-26,143.169998,144.25,141.899994,143.960007,142.977371,54105100
GOOG,2023-01-26,98.279999,99.209999,96.82,99.160004,99.160004,24542100
META,2023-01-26,144.399994,147.509995,143.300003,147.300003,147.143875,25482100
MSFT,2023-01-26,243.649994,248.309998,242,248,245.366592,33454500
NFLX,2023-01-26,368.769989,369.019989,361.700012,364.869995,364.869995,8256800
NVDA,2023-01-26,197.009995,201.660004,192.779999,198.020004,197.922882,48953500
TSLA,2023-01-26,159.970001,161.419998,154.759995,160.270004,160.270004,234815100
AMZN,2023-01-27,99.529999,103.489998,99.529999,102.239998,102.239998,87775600
APPL,2023-01-27,143.160004,147.229996,143.080002,145.929993,144.933914,70555800
GOOG,2023-01-27,99.050003,101.580002,98.970001,100.709999,100.709999,29020400
META,2023-01-27,148.240005,153.190002,147.389999,151.740005,151.579178,35771900
MSFT,2023-01-27,248.990005,249.830002,246.830002,248.160004,245.524887,26498900
NFLX,2023-01-27,363.200012,365.920013,360.589996,360.769989,360.769989,6703500
NVDA,2023-01-27,194.619995,206.279999,194.050003,203.649994,203.550125,54214200
TSLA,2023-01-27,162.429993,180.679993,161.169998,177.899994,177.899994,306590600
AMZN,2023-01-30,101.089996,101.739998,99.010002,100.550003,100.550003,70691900
APPL,2023-01-30,144.960007,145.550003,142.850006,143,142.023926,64015300
GOOG,2023-01-30,98.745003,99.408997,97.519997,97.949997,97.949997,24365100
META,2023-01-30,149.410004,151.119995,146.949997,147.059998,146.904129,28040100
MSFT,2023-01-30,244.509995,245.600006,242.199997,242.710007,240.132767,25867400
NFLX,2023-01-30,358.440002,360.950012,352.859985,353.109985,353.109985,5127600
NVDA,2023-01-30,199.5,201.399994,191.5,191.619995,191.526031,48861100
TSLA,2023-01-30,178.050003,179.770004,166.5,166.660004,166.660004,230878800
AMZN,2023-01-31,101.160004,103.349998,101.139999,103.129997,103.129997,66527300
APPL,2023-01-31,142.699997,144.339996,142.279999,144.289993,143.305115,65874500
GOOG,2023-01-31,97.860001,99.910004,97.790001,99.870003,99.870003,22306800
META,2023-01-31,147.949997,149.880005,147.520004,148.970001,148.812103,29842100
MSFT,2023-01-31,243.449997,247.949997,242.949997,247.809998,245.178604,26541100
NFLX,2023-01-31,349.980011,355.950012,348.709991,353.859985,353.859985,5660700
NVDA,2023-01-31,191.699997,196.869995,189.5,195.369995,195.2742,49801700
TSLA,2023-01-31,164.570007,174.300003,162.779999,173.220001,173.220001,196813500
AMZN,2023-02-01,102.529999,106.239998,101.239998,105.150002,105.150002,80450100
APPL,2023-02-01,143.970001,146.610001,141.320007,145.429993,144.437317,77663600
GOOG,2023-02-01,99.739998,102.190002,98.419998,101.43,101.43,26392600
META,2023-02-01,148.029999,153.580002,147.059998,153.119995,152.957703,55661000
